source,target,type,length
2302142796,544930744,tag,1
2302142796,551914316,tag,2
2302142796,556932083,tag,3
2302142796,563577820,tag,4
2302142796,588667816,tag,5
2302142796,600230432,tag,6
2302142796,606252945,tag,7
2302142796,618087188,tag,8
2302142796,634632268,tag,9
2302142796,639853426,tag,10
2302142796,640659445,tag,1
2302142796,675589576,tag,2
2302142796,700964093,tag,3
2302142796,730099227,tag,4
2302142796,751266407,tag,5
2302142796,770083313,tag,6
2302142796,782001304,tag,7
2302142796,786256457,tag,8
2302142796,808146148,tag,9
2302142796,847983048,tag,10
2302142796,861760202,tag,1
2302142796,864378953,tag,2
2302142796,929786124,tag,3
2302142796,961138532,tag,4
2302142796,961800965,tag,5
2302142796,983041578,tag,6
2302142796,1006249093,tag,7
2302142796,1053638607,tag,8
2302142796,1153041972,tag,9
2302142796,1208632794,tag,10
2302142796,1220560588,tag,1
2302142796,1243546482,tag,2
2302142796,1246817568,tag,3
2302142796,1251604768,tag,4
2302142796,1275695404,tag,5
2302142796,1384169891,tag,6
2302142796,1395371728,tag,7
2302142796,1402792332,tag,8
2302142796,1416169916,tag,9
2302142796,1424660135,tag,10
2302142796,1435511856,tag,1
2302142796,1440354827,tag,2
2302142796,1455546968,tag,3
2302142796,1489274672,tag,4
2302142796,1489892581,tag,5
2302142796,1522315498,tag,6
2302142796,1571913658,tag,7
2302142796,1594654584,tag,8
2302142796,1712928840,tag,9
2302142796,1736148980,tag,10
2302142796,1898264432,tag,1
2302142796,1957820958,tag,2
2302142796,1989870969,tag,3
2302142796,2016687372,tag,4
2302142796,2040595896,tag,5
2302142796,2046367307,tag,6
2302142796,2049233526,tag,7
2302142796,2052844575,tag,8
2302142796,2053365012,tag,9
2302142796,2069607248,tag,10
2302142796,2089164107,tag,1
2302142796,2090311673,tag,2
2302142796,2092030024,user,3
2302142796,2100831371,tag,4
2302142796,2120882132,tag,5
2302142796,2123379140,tag,6
2302142796,2124584100,user,7
2302142796,2142819867,tag,8
2302142796,2143766196,user,9
2302142796,2151508685,tag,10
2302142796,2152810743,tag,1
2302142796,2175966305,tag,2
2302142796,2177637000,tag,3
2302142796,2180138491,tag,4
2302142796,2180780268,tag,5
2302142796,2181453159,tag,6
2302142796,2181564148,tag,7
2302142796,2183732191,tag,8
2302142796,2183784251,tag,9
2302142796,2187949179,tag,10
2302142796,2187985556,tag,1
2302142796,2188858895,tag,2
2302142796,2191348476,tag,3
2302142796,2198268112,tag,4
2302142796,2199086090,tag,5
2302142796,2199389512,tag,6
2302142796,2199478116,tag,7
2302142796,2199820860,tag,8
2302142796,2200453408,tag,9
2302142796,2200948125,tag,10
2302142796,2205311952,tag,1
2302142796,2206858364,tag,2
2302142796,2208459009,tag,3
2302142796,2209067032,tag,4
2302142796,2223563996,tag,5
2302142796,2226095390,tag,6
2302142796,2228067934,tag,7
2302142796,2228331453,tag,8
2302142796,2231099907,tag,9
2302142796,2231740574,tag,10
2302142796,2232374945,tag,1
2302142796,2233392032,tag,2
2302142796,2242056818,tag,3
2302142796,2244592052,tag,4
2302142796,2246705059,tag,5
2302142796,2247037923,tag,6
2302142796,2248276320,tag,7
2302142796,2250552052,tag,8
2302142796,2251566420,tag,9
2302142796,2251872964,tag,10
2302142796,2252510560,tag,1
2302142796,2254940580,tag,2
2302142796,2257029440,tag,3
2302142796,2259314604,tag,4
2302142796,2262342313,tag,5
2302142796,2262947268,tag,6
2302142796,2263717983,tag,7
2302142796,2264898611,tag,8
2302142796,2264903076,tag,9
2302142796,2265396136,tag,10
2302142796,2265498878,tag,1
2302142796,2265688841,tag,2
2302142796,2267449792,tag,3
2302142796,2268101980,tag,4
2302142796,2268731696,tag,5
2302142796,2270520064,tag,6
2302142796,2271543822,tag,7
2302142796,2272521758,tag,8
2302142796,2274327896,tag,9
2302142796,2275057763,tag,10
2302142796,2276050464,tag,1
2302142796,2278850284,tag,2
2302142796,2278891507,tag,3
2302142796,2279924192,tag,4
2302142796,2281598786,tag,5
2302142796,2284128908,tag,6
2302142796,2284896555,tag,7
2302142796,2285621217,tag,8
2302142796,2286651192,tag,9
2302142796,2288245961,tag,10
2302142796,2290676317,tag,1
2302142796,2292140758,tag,2
2302142796,2293154812,tag,3
2302142796,2293542733,tag,4
2302142796,2293671305,tag,5
2302142796,2296152492,tag,6
2302142796,2296358447,tag,7
2302142796,2297401300,tag,8
2302142796,2297555157,tag,9
2302142796,2299170592,tag,10
2302142796,2300003163,tag,1
2302142796,2302407434,tag,2
2302142796,2303558216,tag,3
2302142796,2304356088,tag,4
2302142796,2306249760,tag,5
2302142796,2308468179,tag,6
2302142796,2308577863,tag,7
2302142796,2308588900,tag,8
2302142796,2308719945,tag,9
2302142796,2308890552,tag,10
2302142796,2311404804,tag,1
2302142796,2313312045,tag,2
2302142796,2313653250,tag,3
2302142796,2313884116,tag,4
2302142796,2314435592,tag,5
2302142796,2316305316,tag,6
2302142796,2320765086,tag,7
2302142796,2320988353,tag,8
2302142796,2321446188,tag,9
2302142796,2321557200,tag,10
2302142796,2322034994,tag,1
2302142796,2322118521,tag,2
2302142796,2322448396,tag,3
2302142796,2323046136,tag,4
2302142796,2323444328,tag,5
2302142796,2323772638,tag,6
2302142796,2324382857,tag,7
2302142796,2326218928,tag,8
2302142796,2326497378,tag,9
2302142796,2327852210,tag,10
2302142796,2330041471,tag,1
2302142796,2333747706,tag,2
2302142796,2334101535,tag,3
2302142796,2335593335,tag,4
2302142796,2337557654,tag,5
2302142796,2340756122,tag,6
2302142796,2341981748,tag,7
2302142796,2342380918,tag,8
2302142796,2343821676,tag,9
2302142796,2344480591,tag,10
2302142796,2346319457,tag,1
2302142796,2356805186,tag,2
2302142796,2362968158,tag,3
2302142796,2364058216,tag,4
2302142796,2364112518,tag,5
2302142796,2364824268,tag,6
2302142796,2366173236,tag,7
2302142796,2387004763,tag,8
2302142796,2389416107,tag,9
2302142796,2390124863,tag,10
2302142796,2390651001,tag,1
2302142796,2398317338,tag,2
2302142796,2405991961,tag,3
2302142796,2418440951,tag,4
2302142796,2419929765,tag,5
2302142796,2429211577,tag,6
2302142796,2430802424,tag,7
2302142796,2431535704,tag,8
2302142796,2436763964,tag,9
2302142796,2438664934,tag,10
2302142796,2440440484,tag,1
2302142796,2440521080,tag,2
2302142796,2440575212,tag,3
2302142796,2441035696,tag,4
2302142796,2441332480,tag,5
2302142796,2441604368,tag,6
2302142796,2441897896,tag,7
2302142796,2442304702,tag,8
2302142796,2442850508,tag,9
2302142796,2443083341,tag,10
2302142796,2445278424,tag,1
2302142796,2447588773,tag,2
2302142796,2449510752,tag,3
2302142796,2450126252,tag,4
2302142796,2450301076,tag,5
2302142796,2452094574,tag,6
2302142796,2452459080,tag,7
2302142796,2454762551,tag,8
2302142796,2454829092,tag,9
2302142796,2454915572,tag,10
2302142796,2455559824,tag,1
2302142796,2457817766,tag,2
2302142796,2458711327,tag,3
2302142796,2459012977,tag,4
2302142796,2459022975,tag,5
2302142796,2461271554,tag,6
2302142796,2461894352,tag,7
2302142796,2465487583,tag,8
2302142796,2467662672,tag,9
2302142796,2470761920,tag,10
2302142796,2483446492,tag,1
2302142796,2487262614,tag,2
2302142796,2488335772,tag,3
2302142796,2489594532,tag,4
2302142796,2489950868,tag,5
2302142796,2490222108,tag,6
2302142796,2493751635,tag,7
2302142796,2494124731,tag,8
2302142796,2494161677,tag,9
2302142796,2494704539,tag,10
2302142796,2494981639,tag,1
2302142796,2495012746,tag,2
2302142796,2496549660,tag,3
2302142796,2499230371,tag,4
2302142796,2499841878,tag,5
2302142796,2500317510,tag,6
2302142796,2503618028,tag,7
2302142796,2505382464,tag,8
2302142796,2505470308,tag,9
2302142796,2506332204,tag,10
2302142796,2509214860,tag,1
2302142796,2510571006,tag,2
2302142796,2512198982,tag,3
2302142796,2513080484,tag,4
2302142796,2513477206,tag,5
2302142796,2513870996,tag,6
2302142796,2516266193,tag,7
2302142796,2516363444,tag,8
2302142796,2517489306,tag,9
2302142796,2517967584,tag,10
2302142796,2522814367,tag,1
2302142796,2523129905,tag,2
2302142796,2526476961,tag,3
2302142796,2527269736,tag,4
2302142796,2530489156,tag,5
2302142796,2532991236,tag,6
2302142796,2533516081,tag,7
2302142796,2534047727,tag,8
2302142796,2535270260,tag,9
2302142796,2535593980,tag,10
2302142796,2535983848,tag,1
2302142796,2536849184,tag,2
2302142796,2537518399,tag,3
2302142796,2538457291,tag,4
2302142796,2539184147,tag,5
2302142796,2542751055,tag,6
2302142796,2544695225,tag,7
2302142796,2549531032,tag,8
2302142796,2549740421,tag,9
2302142796,2552119800,tag,10
2302142796,2554387188,tag,1
2302142796,2590729700,tag,2
2302142796,2592593624,tag,3
2302142796,2592736844,tag,4
2302142796,2597799790,tag,5
2302142796,2599058340,tag,6
2302142796,2599333769,tag,7
2302142796,2601029204,tag,8
2302142796,2601256429,tag,9
2302142796,2601622912,tag,10
2302142796,2603814484,tag,1
2302142796,2604791416,tag,2
2302142796,2606860354,tag,3
2302142796,2608702033,tag,4
2302142796,2609758111,tag,5
2302142796,2609862901,tag,6
2302142796,2612205228,tag,7
2302142796,2613067953,tag,8
2302142796,2614149427,tag,9
2302142796,2614190844,tag,10
2302142796,2614465358,tag,1
2302142796,2615423250,tag,2
2302142796,2617502594,tag,3
2302142796,2619087371,tag,4
2302142796,2625785361,tag,5